city,floor,floorQuantity
Абакан,5,9435
Буденновск,5,9393
Белорецк,5,9558
Арсеньев,5,9563
Артем,5,9511
Бузулук,5,9334
Биробиджан,5,9449
Анапа,5,9473
Борисоглебск,5,9531
Владивосток,5,9584
Боровичи,5,9409
Великий Новгород,5,9449
Альметьевск,5,9371
Белебей,5,9534
Анжеро-Судженск,5,9613
Белово,5,9377
Армавир,5,9579
Балашиха,5,9538
Астрахань,5,9354
Бор,5,9429
Верхняя Пышма,5,9548
Ангарск,5,9490
Бийск,5,9342
Белогорск,5,9417
Балаково,5,9404
Великие Луки,5,9373
Бугульма,5,9472
Буйнакск,5,9391
Братск,5,9422
Батайск,5,9527
Балашов,5,9419
Архангельск,5,9363
Алексин,5,9402
Балахна,5,9543
Апатиты,5,9480
Видное,5,9472
Арзамас,5,9448
Березовский,5,9300
Ачинск,5,9276
Благовещенск,5,9318
Асбест,5,9547
Белореченск,5,9505
Белгород,5,9456
Барнаул,5,9445
Азов,5,9389
Брянск,5,9309
Александров,5,9247
Бердск,5,9428
Березники,5,9438
