city,floor,floorQuantity
Абакан,3,9452
Буденновск,3,9338
Белорецк,3,9289
Арсеньев,3,9348
Артем,3,9235
Бузулук,3,9397
Биробиджан,3,9484
Анапа,3,9495
Борисоглебск,3,9324
Владивосток,3,9279
Боровичи,3,9476
Великий Новгород,3,9392
Альметьевск,3,9547
Белебей,3,9271
Анжеро-Судженск,3,9422
Белово,3,9500
Армавир,3,9399
Балашиха,3,9445
Астрахань,3,9567
Бор,3,9405
Верхняя Пышма,3,9489
Ангарск,3,9448
Бийск,3,9452
Белогорск,3,9588
Балаково,3,9423
Великие Луки,3,9545
Бугульма,3,9540
Буйнакск,3,9310
Братск,3,9354
Батайск,3,9493
Балашов,3,9404
Архангельск,3,9250
Алексин,3,9488
Балахна,3,9405
Апатиты,3,9451
Видное,3,9451
Арзамас,3,9403
Березовский,3,9404
Ачинск,3,9472
Благовещенск,3,9526
Асбест,3,9417
Белореченск,3,9429
Белгород,3,9446
Барнаул,3,9517
Азов,3,9375
Брянск,3,9346
Александров,3,9552
Бердск,3,9414
Березники,3,9423
