city,floor,floorQuantity
Абакан,4,9484
Буденновск,4,9389
Белорецк,4,9408
Арсеньев,4,9429
Артем,4,9443
Бузулук,4,9634
Биробиджан,4,9478
Анапа,4,9355
Борисоглебск,4,9539
Владивосток,4,9560
Боровичи,4,9394
Великий Новгород,4,9624
Альметьевск,4,9365
Белебей,4,9537
Анжеро-Судженск,4,9205
Белово,4,9464
Армавир,4,9358
Балашиха,4,9363
Астрахань,4,9328
Бор,4,9447
Верхняя Пышма,4,9470
Ангарск,4,9381
Бийск,4,9485
Белогорск,4,9365
Балаково,4,9488
Великие Луки,4,9420
Бугульма,4,9349
Буйнакск,4,9452
Братск,4,9411
Батайск,4,9384
Балашов,4,9333
Архангельск,4,9645
Алексин,4,9418
Балахна,4,9334
Апатиты,4,9560
Видное,4,9349
Арзамас,4,9421
Березовский,4,9419
Ачинск,4,9504
Благовещенск,4,9535
Асбест,4,9456
Белореченск,4,9236
Белгород,4,9461
Барнаул,4,9455
Азов,4,9454
Брянск,4,9555
Александров,4,9401
Бердск,4,9535
Березники,4,9468
