city,floor,floorQuantity
Абакан,2,9441
Буденновск,2,9671
Белорецк,2,9571
Арсеньев,2,9430
Артем,2,9457
Бузулук,2,9355
Биробиджан,2,9446
Анапа,2,9488
Борисоглебск,2,9218
Владивосток,2,9295
Боровичи,2,9378
Великий Новгород,2,9543
Альметьевск,2,9335
Белебей,2,9392
Анжеро-Судженск,2,9465
Белово,2,9210
Армавир,2,9512
Балашиха,2,9320
Астрахань,2,9459
Бор,2,9495
Верхняя Пышма,2,9366
Ангарск,2,9440
Бийск,2,9476
Белогорск,2,9361
Балаково,2,9453
Великие Луки,2,9339
Бугульма,2,9476
Буйнакск,2,9529
Братск,2,9558
Батайск,2,9382
Балашов,2,9538
Архангельск,2,9501
Алексин,2,9439
Балахна,2,9443
Апатиты,2,9338
Видное,2,9339
Арзамас,2,9523
Березовский,2,9642
Ачинск,2,9220
Благовещенск,2,9403
Асбест,2,9400
Белореченск,2,9453
Белгород,2,9463
Барнаул,2,9260
Азов,2,9307
Брянск,2,9544
Александров,2,9470
Бердск,2,9439
Березники,2,9504
